"time","dynamicHX.Tc[1]","dynamicHX.Tc[2]","dynamicHX.Tc[3]","dynamicHX.Tc[4]","dynamicHX.Tc[5]","dynamicHX.Tc[6]","dynamicHX.Tc[7]","dynamicHX.Tc[8]","dynamicHX.Tc[9]","dynamicHX.Tc[10]","dynamicHX.Tc[11]","dynamicHX.Tc[12]","dynamicHX.Tc[13]","dynamicHX.Tc[14]","dynamicHX.Tc[15]","dynamicHX.Tc[16]","dynamicHX.Tc[17]","dynamicHX.Tc[18]","dynamicHX.Tc[19]","dynamicHX.Tc[20]","dynamicHX.Tc[21]","dynamicHX.Tc[22]","dynamicHX.Tc[23]","dynamicHX.Tc[24]","dynamicHX.Tc[25]","dynamicHX.Tc[26]","dynamicHX.Tc[27]","dynamicHX.Tc[28]","dynamicHX.Tc[29]","dynamicHX.Tc[30]","dynamicHX.Tc[31]","dynamicHX.Tc[32]","dynamicHX.Tc[33]","dynamicHX.Tc[34]","dynamicHX.Tc[35]","dynamicHX.Tc[36]","dynamicHX.Tc[37]","dynamicHX.Tc[38]","dynamicHX.Tc[39]","dynamicHX.Tc[40]","dynamicHX.Tc[41]","dynamicHX.Tc[42]","dynamicHX.Tc[43]","dynamicHX.Tc[44]","dynamicHX.Tc[45]","dynamicHX.Tc[46]","dynamicHX.Tc[47]","dynamicHX.Tc[48]","dynamicHX.Tc[49]","dynamicHX.Tc[50]","dynamicHX.Th[1]","dynamicHX.Th[2]","dynamicHX.Th[3]","dynamicHX.Th[4]","dynamicHX.Th[5]","dynamicHX.Th[6]","dynamicHX.Th[7]","dynamicHX.Th[8]","dynamicHX.Th[9]","dynamicHX.Th[10]","dynamicHX.Th[11]","dynamicHX.Th[12]","dynamicHX.Th[13]","dynamicHX.Th[14]","dynamicHX.Th[15]","dynamicHX.Th[16]","dynamicHX.Th[17]","dynamicHX.Th[18]","dynamicHX.Th[19]","dynamicHX.Th[20]","dynamicHX.Th[21]","dynamicHX.Th[22]","dynamicHX.Th[23]","dynamicHX.Th[24]","dynamicHX.Th[25]","dynamicHX.Th[26]","dynamicHX.Th[27]","dynamicHX.Th[28]","dynamicHX.Th[29]","dynamicHX.Th[30]","dynamicHX.Th[31]","dynamicHX.Th[32]","dynamicHX.Th[33]","dynamicHX.Th[34]","dynamicHX.Th[35]","dynamicHX.Th[36]","dynamicHX.Th[37]","dynamicHX.Th[38]","dynamicHX.Th[39]","dynamicHX.Th[40]","dynamicHX.Th[41]","dynamicHX.Th[42]","dynamicHX.Th[43]","dynamicHX.Th[44]","dynamicHX.Th[45]","dynamicHX.Th[46]","dynamicHX.Th[47]","dynamicHX.Th[48]","dynamicHX.Th[49]","dynamicHX.Th[50]"
0,332.8622506733219,346.2377850255882,356.2313807560977,363.7019982251146,369.2901287639167,373.1259722814959,373.1259840841979,373.1259963598806,373.126009127795,373.1260224079935,373.126036221364,373.1260505896659,373.126065535567,373.1260810826827,373.1260972556164,373.1261140800017,373.1261315825466,373.1261497910797,373.1261687345977,373.1261884433161,373.1262089487207,373.1262302836223,373.1262524822137,373.1262755801282,373.1262996145014,373.1263246240358,373.1263506490668,373.1263777316331,373.1264059155488,373.1264352464788,373.1264657720177,373.1264975417711,373.126530607441,373.1265650229138,373.1266008443527,373.1266381302923,373.1266769417389,373.1267173422722,373.1267593981529,373.1268031784331,373.126848755071,373.1268962030496,373.1269456005002,373.1269970288288,373.1270505728482,373.1271063209131,373.1271643650609,373.1272248011553,373.1272877290351,373.1273532526677,378.7010909743302,380.5238961661564,381.8907491792007,382.9155031718931,383.6838024635472,384.2598968147887,384.7058250687844,385.1698871766057,385.6528372367161,386.1554615324302,386.6785799280736,387.2230473244064,387.7897551755434,388.3796330696607,388.9936503758206,389.6328179592947,390.2981899677967,390.99086569107,391.7119914962889,392.4627628417439,393.2444263712737,394.0582820918809,394.9056856369303,395.7880506172537,396.7068510624009,397.663623954143,398.6599718541815,399.6975656278127,400.7781472650498,401.9035328004268,403.0756153323427,404.2963681424227,405.5678479149019,406.8921980555128,408.2716521087831,409.7085372719885,411.2052780033036,412.7643997209249,414.388532589114,416.0804153862501,417.8428994490756,419.678952686383,421.5916636544712,423.5842456857393,425.660041060877,427.8225252142206,430.0753109609909,432.4221527343557,434.8669508195264,437.4137555714846
1.4,332.8622506733219,346.2377850255882,356.2313807560977,363.7019982251146,369.2901287639167,373.1259722814959,373.1259840841979,373.1259963598806,373.126009127795,373.1260224079935,373.126036221364,373.1260505896659,373.126065535567,373.1260810826827,373.1260972556164,373.1261140800017,373.1261315825466,373.1261497910797,373.1261687345977,373.1261884433161,373.1262089487207,373.1262302836223,373.1262524822137,373.1262755801282,373.1262996145014,373.1263246240358,373.1263506490668,373.1263777316331,373.1264059155488,373.1264352464788,373.1264657720177,373.1264975417711,373.126530607441,373.1265650229138,373.1266008443527,373.1266381302923,373.1266769417389,373.1267173422722,373.1267593981529,373.1268031784331,373.126848755071,373.1268962030496,373.1269456005002,373.1269970288288,373.1270505728482,373.1271063209131,373.1271643650609,373.1272248011553,373.1272877290351,373.1273532526677,378.7010909743301,380.5238961661564,381.8907491792007,382.9155031718931,383.6838024635472,384.2598968147887,384.7058250687847,385.1698871766057,385.6528372367162,386.1554615324302,386.6785799280736,387.2230473244064,387.7897551755434,388.3796330696607,388.9936503758208,389.6328179592947,390.2981899677967,390.99086569107,391.7119914962889,392.4627628417439,393.2444263712737,394.0582820918809,394.9056856369303,395.7880506172537,396.7068510624007,397.6636239541427,398.6599718541818,399.6975656278127,400.7781472650498,401.9035328004268,403.0756153323424,404.2963681424229,405.5678479149019,406.8921980555128,408.2716521087831,409.7085372719885,411.2052780033036,412.7643997209249,414.388532589114,416.0804153862501,417.8428994490756,419.678952686383,421.5916636544714,423.5842456857393,425.6600410608772,427.8225252142206,430.0753109609911,432.4221527343557,434.8669508195264,437.4137555714846
2.8,332.8622506733219,346.2377850255882,356.2313807560977,363.7019982251146,369.2901287639167,373.1259722814959,373.1259840841979,373.1259963598806,373.126009127795,373.1260224079935,373.126036221364,373.1260505896659,373.126065535567,373.1260810826827,373.1260972556164,373.1261140800017,373.1261315825466,373.1261497910797,373.1261687345977,373.1261884433161,373.1262089487207,373.1262302836223,373.1262524822137,373.1262755801282,373.1262996145014,373.1263246240358,373.1263506490668,373.1263777316331,373.1264059155488,373.1264352464788,373.1264657720177,373.1264975417711,373.126530607441,373.1265650229138,373.1266008443527,373.1266381302923,373.1266769417389,373.1267173422722,373.1267593981529,373.1268031784331,373.126848755071,373.1268962030496,373.1269456005002,373.1269970288288,373.1270505728482,373.1271063209131,373.1271643650609,373.1272248011553,373.1272877290351,373.1273532526677,378.7010909743302,380.5238961661564,381.890749179201,382.9155031718931,383.6838024635472,384.2598968147887,384.7058250687847,385.1698871766055,385.6528372367162,386.1554615324302,386.6785799280739,387.2230473244064,387.7897551755434,388.3796330696604,388.9936503758208,389.6328179592947,390.2981899677967,390.99086569107,391.7119914962889,392.4627628417439,393.2444263712737,394.0582820918809,394.9056856369303,395.7880506172537,396.7068510624007,397.663623954143,398.6599718541815,399.6975656278127,400.7781472650498,401.9035328004268,403.0756153323427,404.2963681424229,405.5678479149019,406.8921980555128,408.2716521087831,409.7085372719887,411.2052780033039,412.7643997209251,414.3885325891138,416.0804153862505,417.8428994490756,419.678952686383,421.5916636544712,423.5842456857391,425.6600410608772,427.8225252142206,430.0753109609909,432.4221527343557,434.8669508195262,437.4137555714846
4.2,332.8622506733219,346.2377850255882,356.2313807560977,363.7019982251146,369.2901287639167,373.1259722814959,373.1259840841979,373.1259963598806,373.126009127795,373.1260224079935,373.126036221364,373.1260505896659,373.126065535567,373.1260810826827,373.1260972556164,373.1261140800017,373.1261315825466,373.1261497910797,373.1261687345977,373.1261884433161,373.1262089487207,373.1262302836223,373.1262524822137,373.1262755801282,373.1262996145014,373.1263246240358,373.1263506490668,373.1263777316331,373.1264059155488,373.1264352464788,373.1264657720177,373.1264975417711,373.126530607441,373.1265650229138,373.1266008443527,373.1266381302923,373.1266769417389,373.1267173422722,373.1267593981529,373.1268031784331,373.126848755071,373.1268962030496,373.1269456005002,373.1269970288288,373.1270505728482,373.1271063209131,373.1271643650609,373.1272248011553,373.1272877290351,373.1273532526677,378.7010909743302,380.5238961661564,381.890749179201,382.9155031718931,383.6838024635472,384.2598968147887,384.7058250687847,385.1698871766055,385.6528372367161,386.1554615324302,386.6785799280739,387.2230473244064,387.7897551755434,388.3796330696607,388.9936503758206,389.6328179592947,390.2981899677967,390.99086569107,391.7119914962889,392.4627628417439,393.2444263712737,394.0582820918812,394.9056856369303,395.7880506172539,396.7068510624007,397.663623954143,398.6599718541815,399.6975656278127,400.7781472650498,401.9035328004268,403.0756153323424,404.2963681424229,405.5678479149019,406.8921980555128,408.2716521087831,409.7085372719885,411.2052780033039,412.7643997209249,414.388532589114,416.0804153862505,417.8428994490754,419.678952686383,421.5916636544712,423.5842456857391,425.6600410608772,427.8225252142206,430.0753109609909,432.4221527343557,434.8669508195262,437.4137555714846
5.6,332.8622506733219,346.2377850255882,356.2313807560977,363.7019982251146,369.2901287639167,373.1259722814959,373.1259840841979,373.1259963598806,373.126009127795,373.1260224079935,373.126036221364,373.1260505896659,373.126065535567,373.1260810826827,373.1260972556164,373.1261140800017,373.1261315825466,373.1261497910797,373.1261687345977,373.1261884433161,373.1262089487207,373.1262302836223,373.1262524822137,373.1262755801282,373.1262996145014,373.1263246240358,373.1263506490668,373.1263777316331,373.1264059155488,373.1264352464788,373.1264657720177,373.1264975417711,373.126530607441,373.1265650229138,373.1266008443527,373.1266381302923,373.1266769417389,373.1267173422722,373.1267593981529,373.1268031784331,373.126848755071,373.1268962030496,373.1269456005002,373.1269970288288,373.1270505728482,373.1271063209131,373.1271643650609,373.1272248011553,373.1272877290351,373.1273532526677,378.7010909743302,380.5238961661564,381.890749179201,382.9155031718931,383.6838024635472,384.2598968147887,384.7058250687847,385.1698871766055,385.6528372367161,386.1554615324302,386.6785799280739,387.2230473244064,387.7897551755434,388.3796330696607,388.9936503758206,389.6328179592947,390.2981899677967,390.99086569107,391.7119914962889,392.4627628417439,393.2444263712737,394.0582820918812,394.9056856369303,395.7880506172539,396.7068510624009,397.663623954143,398.6599718541815,399.6975656278127,400.7781472650498,401.9035328004268,403.0756153323424,404.2963681424229,405.5678479149019,406.8921980555128,408.2716521087831,409.7085372719885,411.2052780033039,412.7643997209249,414.388532589114,416.0804153862505,417.8428994490754,419.678952686383,421.5916636544712,423.5842456857391,425.6600410608772,427.8225252142206,430.0753109609909,432.4221527343557,434.8669508195262,437.4137555714846
7,332.8622506733219,346.2377850255882,356.2313807560977,363.7019982251146,369.2901287639167,373.1259722814959,373.1259840841979,373.1259963598806,373.126009127795,373.1260224079935,373.126036221364,373.1260505896659,373.126065535567,373.1260810826827,373.1260972556164,373.1261140800017,373.1261315825466,373.1261497910797,373.1261687345977,373.1261884433161,373.1262089487207,373.1262302836223,373.1262524822137,373.1262755801282,373.1262996145014,373.1263246240358,373.1263506490668,373.1263777316331,373.1264059155488,373.1264352464788,373.1264657720177,373.1264975417711,373.126530607441,373.1265650229138,373.1266008443527,373.1266381302923,373.1266769417389,373.1267173422722,373.1267593981529,373.1268031784331,373.126848755071,373.1268962030496,373.1269456005002,373.1269970288288,373.1270505728482,373.1271063209131,373.1271643650609,373.1272248011553,373.1272877290351,373.1273532526677,378.7010909743302,380.5238961661564,381.8907491792007,382.9155031718931,383.6838024635472,384.2598968147889,384.7058250687847,385.1698871766055,385.6528372367161,386.1554615324302,386.6785799280739,387.2230473244064,387.7897551755434,388.3796330696607,388.9936503758206,389.6328179592947,390.2981899677967,390.99086569107,391.7119914962889,392.4627628417439,393.2444263712737,394.0582820918812,394.9056856369303,395.7880506172539,396.7068510624009,397.663623954143,398.6599718541815,399.6975656278127,400.7781472650498,401.9035328004268,403.0756153323424,404.2963681424229,405.5678479149019,406.8921980555129,408.2716521087831,409.7085372719885,411.2052780033039,412.7643997209249,414.388532589114,416.0804153862505,417.8428994490754,419.678952686383,421.5916636544712,423.5842456857391,425.6600410608772,427.8225252142206,430.0753109609909,432.4221527343557,434.8669508195262,437.4137555714846
8.4,332.8622506733219,346.2377850255882,356.2313807560977,363.7019982251146,369.2901287639167,373.1259722814959,373.1259840841979,373.1259963598806,373.126009127795,373.1260224079935,373.126036221364,373.1260505896659,373.126065535567,373.1260810826827,373.1260972556164,373.1261140800017,373.1261315825466,373.1261497910797,373.1261687345977,373.1261884433161,373.1262089487207,373.1262302836223,373.1262524822137,373.1262755801282,373.1262996145014,373.1263246240358,373.1263506490668,373.1263777316331,373.1264059155488,373.1264352464788,373.1264657720177,373.1264975417711,373.126530607441,373.1265650229138,373.1266008443527,373.1266381302923,373.1266769417389,373.1267173422722,373.1267593981529,373.1268031784331,373.126848755071,373.1268962030496,373.1269456005002,373.1269970288288,373.1270505728482,373.1271063209131,373.1271643650609,373.1272248011553,373.1272877290351,373.1273532526677,378.7010909743302,380.5238961661564,381.8907491792007,382.9155031718931,383.6838024635472,384.2598968147889,384.7058250687847,385.1698871766055,385.6528372367162,386.1554615324302,386.6785799280739,387.2230473244064,387.7897551755434,388.3796330696607,388.9936503758206,389.6328179592947,390.2981899677967,390.99086569107,391.7119914962889,392.4627628417439,393.2444263712737,394.0582820918809,394.9056856369303,395.7880506172539,396.7068510624009,397.663623954143,398.6599718541815,399.6975656278127,400.7781472650498,401.9035328004268,403.0756153323427,404.2963681424229,405.5678479149019,406.8921980555129,408.2716521087831,409.7085372719885,411.2052780033039,412.7643997209249,414.3885325891138,416.0804153862505,417.8428994490756,419.678952686383,421.5916636544712,423.5842456857393,425.6600410608772,427.8225252142206,430.0753109609909,432.4221527343557,434.8669508195262,437.4137555714846
9.8,332.8622506733219,346.2377850255882,356.2313807560977,363.7019982251146,369.2901287639167,373.1259722814959,373.1259840841979,373.1259963598806,373.126009127795,373.1260224079935,373.126036221364,373.1260505896659,373.126065535567,373.1260810826827,373.1260972556164,373.1261140800017,373.1261315825466,373.1261497910797,373.1261687345977,373.1261884433161,373.1262089487207,373.1262302836223,373.1262524822137,373.1262755801282,373.1262996145014,373.1263246240358,373.1263506490668,373.1263777316331,373.1264059155488,373.1264352464788,373.1264657720177,373.1264975417711,373.126530607441,373.1265650229138,373.1266008443527,373.1266381302923,373.1266769417389,373.1267173422722,373.1267593981529,373.1268031784331,373.126848755071,373.1268962030496,373.1269456005002,373.1269970288288,373.1270505728482,373.1271063209131,373.1271643650609,373.1272248011553,373.1272877290351,373.1273532526677,378.7010909743302,380.5238961661564,381.8907491792007,382.9155031718931,383.6838024635472,384.2598968147889,384.7058250687844,385.1698871766055,385.6528372367162,386.1554615324302,386.6785799280739,387.2230473244064,387.7897551755434,388.3796330696607,388.9936503758206,389.6328179592947,390.2981899677967,390.99086569107,391.7119914962889,392.4627628417439,393.2444263712737,394.0582820918809,394.9056856369303,395.7880506172539,396.7068510624009,397.663623954143,398.6599718541815,399.6975656278127,400.7781472650498,401.9035328004268,403.0756153323427,404.2963681424229,405.5678479149019,406.8921980555129,408.2716521087831,409.7085372719885,411.2052780033039,412.7643997209249,414.3885325891138,416.0804153862505,417.8428994490756,419.678952686383,421.5916636544712,423.5842456857393,425.6600410608772,427.8225252142206,430.0753109609909,432.4221527343557,434.8669508195262,437.4137555714846
10,332.8622506733219,346.2377850255882,356.2313807560977,363.7019982251146,369.2901287639167,373.1259722814959,373.1259840841979,373.1259963598806,373.126009127795,373.1260224079935,373.126036221364,373.1260505896659,373.126065535567,373.1260810826827,373.1260972556164,373.1261140800017,373.1261315825466,373.1261497910797,373.1261687345977,373.1261884433161,373.1262089487207,373.1262302836223,373.1262524822137,373.1262755801282,373.1262996145014,373.1263246240358,373.1263506490668,373.1263777316331,373.1264059155488,373.1264352464788,373.1264657720177,373.1264975417711,373.126530607441,373.1265650229138,373.1266008443527,373.1266381302923,373.1266769417389,373.1267173422722,373.1267593981529,373.1268031784331,373.126848755071,373.1268962030496,373.1269456005002,373.1269970288288,373.1270505728482,373.1271063209131,373.1271643650609,373.1272248011553,373.1272877290351,373.1273532526677,378.7010909743302,380.5238961661564,381.8907491792007,382.9155031718931,383.6838024635472,384.2598968147889,384.7058250687844,385.1698871766055,385.6528372367162,386.1554615324302,386.6785799280739,387.2230473244064,387.7897551755434,388.3796330696607,388.9936503758206,389.6328179592947,390.2981899677967,390.99086569107,391.7119914962889,392.4627628417439,393.2444263712737,394.0582820918809,394.9056856369303,395.7880506172539,396.7068510624009,397.663623954143,398.6599718541815,399.6975656278127,400.7781472650498,401.9035328004268,403.0756153323427,404.2963681424229,405.5678479149019,406.8921980555129,408.2716521087831,409.7085372719885,411.2052780033039,412.7643997209249,414.3885325891138,416.0804153862505,417.8428994490756,419.678952686383,421.5916636544712,423.5842456857393,425.6600410608772,427.8225252142206,430.0753109609909,432.4221527343557,434.8669508195262,437.4137555714846
10,332.8622506733219,346.2377850255882,356.2313807560977,363.7019982251146,369.2901287639167,373.1259722814959,373.1259840841979,373.1259963598806,373.126009127795,373.1260224079935,373.126036221364,373.1260505896659,373.126065535567,373.1260810826827,373.1260972556164,373.1261140800017,373.1261315825466,373.1261497910797,373.1261687345977,373.1261884433161,373.1262089487207,373.1262302836223,373.1262524822137,373.1262755801282,373.1262996145014,373.1263246240358,373.1263506490668,373.1263777316331,373.1264059155488,373.1264352464788,373.1264657720177,373.1264975417711,373.126530607441,373.1265650229138,373.1266008443527,373.1266381302923,373.1266769417389,373.1267173422722,373.1267593981529,373.1268031784331,373.126848755071,373.1268962030496,373.1269456005002,373.1269970288288,373.1270505728482,373.1271063209131,373.1271643650609,373.1272248011553,373.1272877290351,373.1273532526677,378.7010909743302,380.5238961661564,381.8907491792007,382.9155031718931,383.6838024635472,384.2598968147889,384.7058250687844,385.1698871766055,385.6528372367162,386.1554615324302,386.6785799280739,387.2230473244064,387.7897551755434,388.3796330696607,388.9936503758206,389.6328179592947,390.2981899677967,390.99086569107,391.7119914962889,392.4627628417439,393.2444263712737,394.0582820918809,394.9056856369303,395.7880506172539,396.7068510624009,397.663623954143,398.6599718541815,399.6975656278127,400.7781472650498,401.9035328004268,403.0756153323427,404.2963681424229,405.5678479149019,406.8921980555129,408.2716521087831,409.7085372719885,411.2052780033039,412.7643997209249,414.3885325891138,416.0804153862505,417.8428994490756,419.678952686383,421.5916636544712,423.5842456857393,425.6600410608772,427.8225252142206,430.0753109609909,432.4221527343557,434.8669508195262,437.4137555714846
