"time","dynamicHX.Tc[1]","dynamicHX.Tc[2]","dynamicHX.Tc[3]","dynamicHX.Tc[4]","dynamicHX.Tc[5]","dynamicHX.Tc[6]","dynamicHX.Tc[7]","dynamicHX.Tc[8]","dynamicHX.Tc[9]","dynamicHX.Tc[10]","dynamicHX.Tc[11]","dynamicHX.Tc[12]","dynamicHX.Tc[13]","dynamicHX.Tc[14]","dynamicHX.Tc[15]","dynamicHX.Tc[16]","dynamicHX.Tc[17]","dynamicHX.Tc[18]","dynamicHX.Tc[19]","dynamicHX.Tc[20]","dynamicHX.Tc[21]","dynamicHX.Tc[22]","dynamicHX.Tc[23]","dynamicHX.Tc[24]","dynamicHX.Tc[25]","dynamicHX.Tc[26]","dynamicHX.Tc[27]","dynamicHX.Tc[28]","dynamicHX.Tc[29]","dynamicHX.Tc[30]","dynamicHX.Th[1]","dynamicHX.Th[2]","dynamicHX.Th[3]","dynamicHX.Th[4]","dynamicHX.Th[5]","dynamicHX.Th[6]","dynamicHX.Th[7]","dynamicHX.Th[8]","dynamicHX.Th[9]","dynamicHX.Th[10]","dynamicHX.Th[11]","dynamicHX.Th[12]","dynamicHX.Th[13]","dynamicHX.Th[14]","dynamicHX.Th[15]","dynamicHX.Th[16]","dynamicHX.Th[17]","dynamicHX.Th[18]","dynamicHX.Th[19]","dynamicHX.Th[20]","dynamicHX.Th[21]","dynamicHX.Th[22]","dynamicHX.Th[23]","dynamicHX.Th[24]","dynamicHX.Th[25]","dynamicHX.Th[26]","dynamicHX.Th[27]","dynamicHX.Th[28]","dynamicHX.Th[29]","dynamicHX.Th[30]"
0,308.950678321808,320.6072245139257,330.144113712263,337.9453351048407,344.3267629231363,349.5473461559051,353.818943067977,357.3147019739784,360.1760703936406,362.5185900309924,364.436654709066,366.0074010677098,367.2938831531405,368.3476601036094,369.2109048591583,369.9181228295734,370.4975532268423,370.9723122443749,371.3761979513454,371.8549581489173,372.4228161584406,373.0968125351737,373.1259734917509,373.1259771951565,373.1259825752894,373.1259904036,373.1260018158806,373.1260184892318,373.126042904671,373.1260787314465,373.1271796903326,373.1272168481025,373.1272472568309,373.1272721437811,373.12729251389,373.1273091892062,373.1273228418489,373.1273340212732,373.1273431766825,373.1273506753839,373.1273568177861,373.1273618496452,373.1273659720554,373.1273693496034,373.1273721170235,373.1273743846321,373.1273762427675,373.1273777654177,373.2097698280345,374.0287122399625,375.0014845472064,376.1579959850405,377.5342909562396,379.5222602070489,382.4182007708687,386.6465431090278,392.836556079195,401.9231541795735,415.2948131804029,435.0037723107732
0.1,308.950678321808,320.6072245139257,330.144113712263,337.9453351048407,344.3267629231363,349.5473461559051,353.818943067977,357.3147019739784,360.1760703936406,362.5185900309924,364.436654709066,366.0074010677098,367.2938831531405,368.3476601036094,369.2109048591583,369.9181228295734,370.4975532268423,370.9723122443749,371.3761979513454,371.8549581489173,372.4228161584406,373.0968125351737,373.1259734917509,373.1259771951565,373.1259825752894,373.1259904036,373.1260018158806,373.1260184892318,373.126042904671,373.1260787314465,373.1271796903326,373.1272168481025,373.1272472568309,373.1272721437811,373.12729251389,373.1273091892062,373.1273228418489,373.1273340212732,373.1273431766825,373.1273506753839,373.1273568177861,373.1273618496452,373.1273659720554,373.1273693496034,373.1273721170235,373.1273743846321,373.1273762427675,373.1273777654177,373.2097698280345,374.0287122399625,375.001484547206,376.1579959850405,377.5342909562396,379.5222602070489,382.4182007708687,386.6465431090278,392.836556079195,401.9231541795735,415.2948131804029,435.0037723107732
0.2,308.950678321808,320.6072245139257,330.144113712263,337.9453351048407,344.3267629231363,349.5473461559051,353.818943067977,357.3147019739784,360.1760703936406,362.5185900309924,364.436654709066,366.0074010677098,367.2938831531405,368.3476601036094,369.2109048591583,369.9181228295734,370.4975532268423,370.9723122443749,371.3761979513454,371.8549581489173,372.4228161584406,373.0968125351737,373.1259734917509,373.1259771951565,373.1259825752894,373.1259904036,373.1260018158806,373.1260184892318,373.126042904671,373.1260787314465,373.1271796903326,373.1272168481025,373.1272472568309,373.1272721437811,373.12729251389,373.1273091892062,373.1273228418489,373.1273340212732,373.1273431766825,373.1273506753839,373.1273568177861,373.1273618496452,373.1273659720554,373.1273693496034,373.1273721170235,373.1273743846321,373.1273762427675,373.1273777654177,373.2097698280345,374.0287122399625,375.0014845472064,376.1579959850405,377.5342909562396,379.5222602070489,382.4182007708687,386.6465431090279,392.836556079195,401.9231541795735,415.2948131804029,435.0037723107732
0.3,308.950678321808,320.6072245139257,330.144113712263,337.9453351048407,344.3267629231363,349.5473461559051,353.818943067977,357.3147019739784,360.1760703936406,362.5185900309924,364.436654709066,366.0074010677098,367.2938831531405,368.3476601036094,369.2109048591583,369.9181228295734,370.4975532268423,370.9723122443749,371.3761979513454,371.8549581489173,372.4228161584406,373.0968125351737,373.1259734917509,373.1259771951565,373.1259825752894,373.1259904036,373.1260018158806,373.1260184892318,373.126042904671,373.1260787314465,373.1271796903326,373.1272168481025,373.1272472568309,373.1272721437811,373.12729251389,373.1273091892062,373.1273228418489,373.1273340212732,373.1273431766825,373.1273506753839,373.1273568177861,373.1273618496452,373.1273659720554,373.1273693496034,373.1273721170235,373.1273743846321,373.1273762427675,373.1273777654177,373.2097698280345,374.0287122399625,375.0014845472064,376.1579959850405,377.5342909562396,379.5222602070489,382.4182007708687,386.6465431090278,392.836556079195,401.9231541795735,415.2948131804029,435.0037723107732
0.4,308.950678321808,320.6072245139257,330.144113712263,337.9453351048407,344.3267629231363,349.5473461559051,353.818943067977,357.3147019739784,360.1760703936406,362.5185900309924,364.436654709066,366.0074010677098,367.2938831531405,368.3476601036094,369.2109048591583,369.9181228295734,370.4975532268423,370.9723122443749,371.3761979513454,371.8549581489173,372.4228161584406,373.0968125351737,373.1259734917509,373.1259771951565,373.1259825752894,373.1259904036,373.1260018158806,373.1260184892318,373.126042904671,373.1260787314465,373.1271796903326,373.1272168481025,373.1272472568309,373.1272721437811,373.12729251389,373.1273091892062,373.1273228418489,373.1273340212732,373.1273431766825,373.1273506753839,373.1273568177861,373.1273618496452,373.1273659720554,373.1273693496034,373.1273721170235,373.1273743846321,373.1273762427675,373.1273777654177,373.2097698280345,374.0287122399625,375.0014845472064,376.1579959850405,377.5342909562396,379.5222602070489,382.4182007708687,386.6465431090278,392.836556079195,401.9231541795735,415.2948131804029,435.0037723107732
0.5,308.950678321808,320.6072245139257,330.144113712263,337.9453351048407,344.3267629231363,349.5473461559051,353.818943067977,357.3147019739784,360.1760703936406,362.5185900309924,364.436654709066,366.0074010677098,367.2938831531405,368.3476601036094,369.2109048591583,369.9181228295734,370.4975532268423,370.9723122443749,371.3761979513454,371.8549581489173,372.4228161584406,373.0968125351737,373.1259734917509,373.1259771951565,373.1259825752894,373.1259904036,373.1260018158806,373.1260184892318,373.126042904671,373.1260787314465,373.1271796903326,373.1272168481025,373.1272472568309,373.1272721437811,373.12729251389,373.1273091892062,373.1273228418489,373.1273340212732,373.1273431766825,373.1273506753839,373.1273568177861,373.1273618496452,373.1273659720554,373.1273693496034,373.1273721170235,373.1273743846321,373.1273762427675,373.1273777654177,373.2097698280345,374.0287122399627,375.001484547206,376.1579959850405,377.5342909562396,379.5222602070489,382.4182007708687,386.6465431090278,392.836556079195,401.9231541795735,415.2948131804029,435.0037723107732
0.6,308.950678321808,320.6072245139257,330.144113712263,337.9453351048407,344.3267629231363,349.5473461559051,353.818943067977,357.3147019739784,360.1760703936406,362.5185900309924,364.436654709066,366.0074010677098,367.2938831531405,368.3476601036094,369.2109048591583,369.9181228295734,370.4975532268423,370.9723122443749,371.3761979513454,371.8549581489173,372.4228161584406,373.0968125351737,373.1259734917509,373.1259771951565,373.1259825752894,373.1259904036,373.1260018158806,373.1260184892318,373.126042904671,373.1260787314465,373.1271796903326,373.1272168481025,373.1272472568309,373.1272721437811,373.12729251389,373.1273091892062,373.1273228418489,373.1273340212732,373.1273431766825,373.1273506753839,373.1273568177861,373.1273618496452,373.1273659720554,373.1273693496034,373.1273721170235,373.1273743846321,373.1273762427675,373.1273777654177,373.2097698280343,374.0287122399627,375.001484547206,376.1579959850405,377.5342909562396,379.5222602070489,382.4182007708687,386.6465431090278,392.836556079195,401.9231541795735,415.2948131804029,435.0037723107732
0.7,308.950678321808,320.6072245139257,330.144113712263,337.9453351048407,344.3267629231363,349.5473461559051,353.8189430679774,357.3147019739784,360.1760703936406,362.5185900309924,364.436654709066,366.0074010677098,367.2938831531405,368.3476601036094,369.2109048591583,369.9181228295734,370.4975532268423,370.9723122443749,371.3761979513454,371.8549581489173,372.4228161584406,373.0968125351737,373.1259734917509,373.1259771951565,373.1259825752894,373.1259904036,373.1260018158806,373.1260184892318,373.126042904671,373.1260787314465,373.1271796903326,373.1272168481025,373.1272472568309,373.1272721437811,373.12729251389,373.1273091892062,373.1273228418489,373.1273340212732,373.1273431766825,373.1273506753839,373.1273568177861,373.1273618496452,373.1273659720554,373.1273693496034,373.1273721170235,373.1273743846321,373.1273762427675,373.1273777654177,373.2097698280343,374.0287122399627,375.001484547206,376.1579959850405,377.5342909562396,379.5222602070489,382.4182007708687,386.6465431090278,392.836556079195,401.9231541795735,415.2948131804029,435.0037723107732
0.8,308.950678321808,320.6072245139257,330.144113712263,337.9453351048407,344.3267629231363,349.5473461559051,353.8189430679774,357.3147019739784,360.1760703936406,362.5185900309924,364.436654709066,366.0074010677098,367.2938831531405,368.3476601036094,369.2109048591583,369.9181228295734,370.4975532268423,370.9723122443749,371.3761979513454,371.8549581489173,372.4228161584406,373.0968125351737,373.1259734917509,373.1259771951565,373.1259825752894,373.1259904036,373.1260018158806,373.1260184892318,373.126042904671,373.1260787314465,373.1271796903326,373.1272168481025,373.1272472568309,373.1272721437811,373.12729251389,373.1273091892062,373.1273228418489,373.1273340212732,373.1273431766825,373.1273506753839,373.1273568177861,373.1273618496452,373.1273659720554,373.1273693496034,373.1273721170235,373.1273743846321,373.1273762427675,373.1273777654177,373.2097698280343,374.0287122399627,375.001484547206,376.1579959850405,377.5342909562396,379.5222602070489,382.4182007708687,386.6465431090278,392.836556079195,401.9231541795735,415.2948131804029,435.0037723107732
0.9,308.950678321808,320.6072245139257,330.144113712263,337.9453351048407,344.3267629231363,349.5473461559051,353.8189430679774,357.3147019739784,360.1760703936406,362.5185900309924,364.436654709066,366.0074010677098,367.2938831531405,368.3476601036094,369.2109048591583,369.9181228295734,370.4975532268423,370.9723122443749,371.3761979513454,371.8549581489173,372.4228161584406,373.0968125351737,373.1259734917509,373.1259771951565,373.1259825752894,373.1259904036,373.1260018158806,373.1260184892318,373.126042904671,373.1260787314465,373.1271796903326,373.1272168481025,373.1272472568309,373.1272721437811,373.12729251389,373.1273091892062,373.1273228418489,373.1273340212732,373.1273431766825,373.1273506753839,373.1273568177861,373.1273618496452,373.1273659720554,373.1273693496034,373.1273721170235,373.1273743846321,373.1273762427675,373.1273777654177,373.2097698280343,374.0287122399627,375.001484547206,376.1579959850405,377.5342909562396,379.5222602070489,382.4182007708687,386.6465431090278,392.836556079195,401.9231541795735,415.2948131804029,435.0037723107732
